id,ingredients,Label
716549,6.0,Pizza
715742,,Pizza
727333,5.0,Pizza
606874,7.0,Pizza
505318,3.0,Pizza
605771,6.0,Pizza
606929,3.5,Pizza
609789,5.0,Pizza
644623,5.0,Pizza
626792,9.0,Pizza
714863,10.0,Pizza
602805,6.0,Pizza
602526,4.0,Pizza
497421,4.0,Pizza
389328,8.0,Pizza
289931,5.0,Pizza
620148,7.0,Pizza
387155,6.0,Pizza
516975,,Pizza
630825,6.0,Pizza
614043,10.0,Pizza
521125,5.0,Pizza
627780,5.0,Pizza
492744,10.0,Pizza
618747,,Pizza
607815,6.0,Pizza
601609,10.0,Pizza
602657,5.0,Pizza
616449,,Pizza
501893,5.0,Pizza
507448,,Pizza
606556,3.0,Pizza
724326,11.0,Pizza
616945,5.0,Pizza
630962,4.0,Pizza
715814,,Pizza
502799,8.0,Pizza
605278,4.0,Pizza
388888,8.0,Pizza
519548,5.5,Pizza
405521,3.0,Pizza
607410,8.0,Pizza
715795,8.0,Pizza
625326,5.0,Pizza
627220,5.0,Pizza
634964,5.0,Pizza
722500,10.0,Pizza
602824,5.0,Pizza
618355,5.0,Pizza
611097,7.0,Pizza
634328,5.0,Pizza
607160,10.0,Pizza
728522,6.0,Pizza
718570,5.0,Pizza
714598,5.0,Pizza
601950,4.0,Pizza
612478,3.0,Pizza
501416,7.5,Pizza
629710,8.0,Pizza
502610,3.5,Pizza
603476,8.0,Pizza
600957,10.0,Pizza
713423,15.0,Pizza
722431,5.0,Pizza
633234,6.0,Pizza
148179,5.0,Pizza
715845,9.0,Pizza
632153,10.0,Pizza
606552,6.0,Pizza
738409,4.0,Pizza
612096,6.0,Pizza
743537,5.0,Pizza
632896,10.0,Pizza
605207,3.0,Pizza
617542,,Pizza
719554,3.0,Pizza
627427,4.0,Pizza
411315,7.0,Pizza
631507,8.0,Pizza
627798,8.0,Pizza
712093,10.0,Pizza
627488,10.0,Pizza
626493,5.0,Pizza
601363,7.0,Pizza
712898,8.0,Pizza
603398,10.0,Pizza
631012,7.0,Pizza
601848,6.0,Pizza
612131,5.0,Pizza
408630,5.0,Pizza
632091,5.0,Pizza
601122,7.0,Pizza
602871,5.0,Pizza
520828,9.0,Pizza
514199,7.0,Pizza
389697,6.0,Pizza
714430,10.0,Pizza
612567,6.0,Pizza
744468,3.0,Pizza
502722,6.0,Pizza
519681,10.0,Pizza
631125,5.0,Pizza
606119,6.5,Pizza
627252,8.0,Pizza
616568,3.0,Pizza
603838,5.0,Pizza
719735,,Pizza
608062,10.0,Pizza
608704,3.0,Pizza
520383,,Pizza
603793,4.0,Pizza
603933,4.5,Pizza
605519,6.0,Pizza
524803,4.0,Pizza
629712,5.0,Pizza
627505,7.0,Pizza
526131,,Pizza
607065,5.0,Pizza
500077,8.0,Pizza
633350,7.0,Pizza
601945,7.0,Pizza
629878,3.0,Pizza
712766,7.5,Pizza
603664,8.0,Pizza
840827,6.0,Pizza
604897,15.0,Pizza
525422,3.0,Pizza
602560,3.0,Pizza
738379,8.5,Pizza
622023,3.0,Pizza
604770,8.0,Pizza
608318,7.0,Pizza
626757,5.0,Pizza
745297,5.0,Pizza
627599,6.0,Pizza
520037,4.0,Pizza
632189,4.0,Pizza
627636,3.0,Pizza
295428,,Pizza
228777,5.0,Pizza
609278,6.0,Pizza
614089,4.0,Pizza
607517,7.0,Pizza
714607,6.0,Pizza
716650,,Pizza
497695,4.0,Pizza
496858,7.0,Pizza
608688,3.0,Pizza
604386,6.0,Pizza
628559,,Pizza
715152,7.0,Pizza
604110,4.0,Pizza
629010,6.0,Pizza
605254,5.0,Pizza
628990,5.0,Pizza
625295,6.0,Pizza
603415,8.0,Pizza
635533,6.0,Pizza
630389,3.0,Pizza
714901,,Pizza
629792,7.0,Pizza
629025,4.0,Pizza
524441,6.0,Pizza
389109,8.0,Pizza
631216,5.0,Pizza
738875,3.0,Pizza
634669,4.0,Pizza
409940,6.0,Pizza
399605,5.0,Pizza
721831,8.0,Pizza
835223,5.0,Pizza
712938,5.0,Pizza
395712,5.0,Pizza
603388,7.0,Pizza
617774,3.0,Pizza
289440,5.0,Pizza
714503,3.5,Pizza
714893,5.0,Pizza
601094,7.0,Pizza
618150,5.0,Pizza
607944,5.0,Pizza
629844,4.0,Pizza
626482,5.0,Pizza
609257,5.0,Pizza
717921,8.0,Pizza
181851,5.0,Pizza
629041,3.0,Pizza
604062,,Pizza
716749,4.0,Pizza
633143,,Pizza
743828,10.0,Pizza
520861,4.0,Pizza
517019,5.0,Pizza
626779,,Pizza
611716,3.0,Pizza
193195,5.0,Pizza
627530,7.0,Pizza
626479,3.0,Pizza
624540,3.0,Pizza
625315,8.0,Pizza
601941,4.0,Pizza
723968,21.0,Pizza
715806,10.0,Pizza
720045,8.0,Pizza
713585,6.0,Pizza
611188,4.0,Pizza
606726,10.0,Pizza
629142,5.0,Pizza
634825,7.0,Pizza
613409,8.0,Pizza
633224,4.0,Pizza
738850,6.0,Pizza
500470,6.0,Pizza
13183,6.0,Pizza
627169,15.0,Pizza
229041,5.0,Pizza
496344,8.0,Pizza
409723,11.0,Pizza
630949,7.0,Pizza
413014,7.0,Pizza
310438,4.0,Pizza
627430,4.0,Pizza
526510,4.0,Pizza
390823,4.0,Pizza
717116,8.0,Pizza
712143,6.0,Pizza
612538,6.0,Pizza
627539,4.0,Pizza
603812,5.0,Pizza
740568,10.0,Pizza
712702,7.0,Pizza
519638,7.0,Pizza
627800,4.0,Pizza
406863,5.0,Pizza
726962,10.0,Pizza
628077,10.0,Pizza
601693,6.0,Pizza
