id,hot_sauce,Label
716549,2,Pizza
715742,1,Pizza
727333,3,Pizza
606874,4,Pizza
505318,2,Pizza
605771,1,Pizza
606929,1,Pizza
609789,3,Pizza
644623,1,Pizza
626792,4,Pizza
714863,1,Pizza
602805,2,Pizza
602526,1,Pizza
497421,1,Pizza
389328,3,Pizza
289931,2,Pizza
620148,3,Pizza
387155,2,Pizza
516975,1,Pizza
630825,1,Pizza
614043,1,Pizza
521125,2,Pizza
627780,1,Pizza
492744,2,Pizza
618747,1,Pizza
607815,2,Pizza
601609,1,Pizza
602657,1,Pizza
616449,2,Pizza
501893,1,Pizza
507448,2,Pizza
606556,2,Pizza
724326,1,Pizza
616945,3,Pizza
630962,1,Pizza
715814,2,Pizza
502799,1,Pizza
605278,2,Pizza
388888,2,Pizza
519548,2,Pizza
405521,3,Pizza
607410,1,Pizza
715795,1,Pizza
625326,2,Pizza
627220,2,Pizza
634964,1,Pizza
722500,3,Pizza
602824,1,Pizza
618355,1,Pizza
611097,2,Pizza
634328,1,Pizza
607160,2,Pizza
728522,4,Pizza
718570,1,Pizza
714598,2,Pizza
601950,1,Pizza
612478,3,Pizza
501416,2,Pizza
629710,2,Pizza
502610,1,Pizza
603476,1,Pizza
600957,1,Pizza
713423,2,Pizza
722431,1,Pizza
633234,1,Pizza
148179,2,Pizza
715845,1,Pizza
632153,1,Pizza
606552,2,Pizza
738409,1,Pizza
612096,4,Pizza
743537,1,Pizza
632896,2,Pizza
605207,1,Pizza
617542,2,Pizza
719554,1,Pizza
627427,2,Pizza
411315,2,Pizza
631507,4,Pizza
627798,2,Pizza
712093,2,Pizza
627488,2,Pizza
626493,1,Pizza
601363,3,Pizza
712898,1,Pizza
603398,3,Pizza
631012,1,Pizza
601848,1,Pizza
612131,2,Pizza
408630,2,Pizza
632091,3,Pizza
601122,1,Pizza
602871,2,Pizza
520828,3,Pizza
514199,1,Pizza
389697,2,Pizza
714430,2,Pizza
612567,3,Pizza
744468,1,Pizza
502722,4,Pizza
519681,1,Pizza
631125,1,Pizza
606119,1,Pizza
627252,1,Pizza
616568,2,Pizza
603838,3,Pizza
719735,2,Pizza
608062,1,Pizza
608704,1,Pizza
520383,2,Pizza
603793,3,Pizza
603933,1,Pizza
605519,3,Pizza
524803,1,Pizza
629712,2,Pizza
627505,1,Pizza
526131,1,Pizza
607065,2,Pizza
500077,1,Pizza
633350,2,Pizza
601945,2,Pizza
629878,2,Pizza
