id,complexity,Label
716549,3.0,Pizza
715742,4.0,Pizza
727333,3.0,Pizza
606874,4.0,Pizza
505318,2.0,Pizza
605771,4.0,Pizza
606929,3.0,Pizza
609789,4.0,Pizza
644623,3.0,Pizza
626792,3.0,Pizza
714863,3.0,Pizza
602805,2.0,Pizza
602526,3.0,Pizza
497421,4.0,Pizza
389328,3.0,Pizza
289931,3.0,Pizza
620148,2.0,Pizza
387155,3.0,Pizza
516975,2.0,Pizza
630825,3.0,Pizza
614043,5.0,Pizza
521125,4.0,Pizza
627780,3.0,Pizza
492744,3.0,Pizza
618747,2.0,Pizza
607815,3.0,Pizza
601609,4.0,Pizza
602657,3.0,Pizza
616449,4.0,Pizza
501893,4.0,Pizza
507448,3.0,Pizza
606556,1.0,Pizza
724326,3.0,Pizza
616945,4.0,Pizza
630962,4.0,Pizza
715814,2.0,Pizza
502799,2.0,Pizza
605278,2.0,Pizza
388888,3.0,Pizza
519548,3.0,Pizza
405521,4.0,Pizza
607410,3.0,Pizza
715795,4.0,Pizza
625326,3.0,Pizza
627220,3.0,Pizza
634964,3.0,Pizza
722500,3.0,Pizza
602824,3.0,Pizza
618355,2.0,Pizza
611097,3.0,Pizza
634328,2.0,Pizza
607160,2.0,Pizza
728522,3.0,Pizza
718570,3.0,Pizza
714598,4.0,Pizza
601950,3.0,Pizza
612478,2.0,Pizza
501416,4.0,Pizza
629710,3.0,Pizza
502610,2.0,Pizza
603476,4.0,Pizza
600957,2.0,Pizza
713423,5.0,Pizza
722431,2.0,Pizza
633234,3.0,Pizza
148179,3.0,Pizza
715845,2.0,Pizza
632153,3.0,Pizza
606552,3.0,Pizza
738409,3.0,Pizza
612096,4.0,Pizza
743537,3.0,Pizza
632896,3.0,Pizza
605207,3.0,Pizza
617542,4.0,Pizza
719554,3.0,Pizza
627427,4.0,Pizza
411315,4.0,Pizza
631507,4.0,Pizza
627798,3.0,Pizza
712093,4.0,Pizza
627488,1.0,Pizza
626493,3.0,Pizza
601363,2.0,Pizza
712898,4.0,Pizza
603398,3.0,Pizza
631012,4.0,Pizza
601848,3.0,Pizza
612131,2.0,Pizza
408630,3.0,Pizza
632091,2.0,Pizza
601122,3.0,Pizza
602871,2.0,Pizza
520828,3.0,Pizza
514199,3.0,Pizza
389697,4.0,Pizza
714430,3.0,Pizza
612567,4.0,Pizza
744468,3.0,Pizza
502722,3.0,Pizza
519681,3.0,Pizza
631125,3.0,Pizza
606119,2.0,Pizza
627252,3.0,Pizza
616568,3.0,Pizza
603838,2.0,Pizza
719735,4.0,Pizza
608062,2.0,Pizza
608704,3.0,Pizza
520383,2.0,Pizza
603793,3.0,Pizza
603933,3.0,Pizza
605519,3.0,Pizza
524803,3.0,Pizza
629712,3.0,Pizza
627505,3.0,Pizza
526131,3.0,Pizza
607065,4.0,Pizza
500077,2.0,Pizza
633350,2.0,Pizza
601945,3.0,Pizza
629878,3.0,Pizza
712766,4.0,Pizza
603664,2.0,Pizza
840827,3.0,Pizza
604897,3.0,Pizza
525422,2.0,Pizza
602560,3.0,Pizza
738379,3.0,Pizza
622023,2.0,Pizza
604770,4.0,Pizza
608318,2.0,Pizza
626757,2.0,Pizza
745297,4.0,Pizza
627599,4.0,Pizza
520037,2.0,Pizza
632189,2.0,Pizza
627636,3.0,Pizza
295428,3.0,Pizza
228777,3.0,Pizza
609278,3.0,Pizza
614089,2.0,Pizza
607517,4.0,Pizza
714607,3.0,Pizza
716650,4.0,Pizza
497695,2.0,Pizza
496858,3.0,Pizza
608688,2.0,Pizza
604386,3.0,Pizza
628559,3.0,Pizza
715152,3.0,Pizza
604110,3.0,Pizza
629010,4.0,Pizza
605254,2.0,Pizza
628990,3.0,Pizza
625295,3.0,Pizza
603415,3.0,Pizza
635533,2.0,Pizza
630389,1.0,Pizza
714901,4.0,Pizza
629792,3.0,Pizza
629025,3.0,Pizza
524441,3.0,Pizza
389109,4.0,Pizza
631216,2.0,Pizza
738875,2.0,Pizza
634669,1.0,Pizza
409940,3.0,Pizza
399605,2.0,Pizza
721831,4.0,Pizza
835223,2.0,Pizza
712938,3.0,Pizza
395712,3.0,Pizza
603388,2.0,Pizza
617774,3.0,Pizza
289440,3.0,Pizza
714503,2.0,Pizza
714893,2.0,Pizza
601094,2.0,Pizza
618150,2.0,Pizza
607944,2.0,Pizza
629844,3.0,Pizza
626482,2.0,Pizza
609257,2.0,Pizza
717921,3.0,Pizza
181851,4.0,Pizza
629041,1.0,Pizza
604062,4.0,Pizza
716749,3.0,Pizza
633143,3.0,Pizza
743828,3.0,Pizza
520861,3.0,Pizza
517019,2.0,Pizza
626779,3.0,Pizza
611716,3.0,Pizza
193195,3.0,Pizza
627530,2.0,Pizza
626479,2.0,Pizza
624540,3.0,Pizza
625315,2.0,Pizza
601941,4.0,Pizza
723968,5.0,Pizza
715806,4.0,Pizza
720045,3.0,Pizza
713585,5.0,Pizza
611188,3.0,Pizza
606726,3.0,Pizza
629142,3.0,Pizza
634825,3.0,Pizza
613409,4.0,Pizza
633224,3.0,Pizza
738850,3.0,Pizza
500470,4.0,Pizza
13183,2.0,Pizza
627169,2.0,Pizza
229041,3.0,Pizza
496344,1.0,Pizza
409723,2.0,Pizza
630949,4.0,Pizza
413014,3.0,Pizza
310438,2.0,Pizza
627430,3.0,Pizza
526510,2.0,Pizza
390823,3.0,Pizza
717116,2.0,Pizza
712143,3.0,Pizza
612538,4.0,Pizza
627539,2.0,Pizza
603812,2.0,Pizza
740568,4.0,Pizza
712702,3.0,Pizza
519638,3.0,Pizza
627800,2.0,Pizza
406863,3.0,Pizza
726962,4.0,Pizza
628077,2.0,Pizza
601693,2.0,Pizza
517096,3.0,Pizza
606821,3.0,Pizza
455047,3.0,Pizza
625576,3.0,Pizza
716549,4.0,Shawarma
715742,2.0,Shawarma
727333,1.0,Shawarma
606874,3.0,Shawarma
505318,4.0,Shawarma
605771,2.0,Shawarma
606929,3.0,Shawarma
609789,3.0,Shawarma
644623,4.0,Shawarma
626792,2.0,Shawarma
714863,2.0,Shawarma
602805,3.0,Shawarma
602526,4.0,Shawarma
497421,2.0,Shawarma
389328,3.0,Shawarma
289931,5.0,Shawarma
620148,1.0,Shawarma
387155,3.0,Shawarma
516975,3.0,Shawarma
630825,2.0,Shawarma
614043,3.0,Shawarma
521125,5.0,Shawarma
627780,4.0,Shawarma
492744,3.0,Shawarma
618747,2.0,Shawarma
607815,4.0,Shawarma
601609,3.0,Shawarma
602657,2.0,Shawarma
616449,3.0,Shawarma
501893,3.0,Shawarma
507448,3.0,Shawarma
606556,3.0,Shawarma
724326,1.0,Shawarma
616945,3.0,Shawarma
630962,3.0,Shawarma
715814,2.0,Shawarma
502799,1.0,Shawarma
605278,4.0,Shawarma
388888,4.0,Shawarma
519548,4.0,Shawarma
405521,2.0,Shawarma
607410,3.0,Shawarma
715795,3.0,Shawarma
625326,4.0,Shawarma
627220,3.0,Shawarma
634964,4.0,Shawarma
722500,2.0,Shawarma
602824,3.0,Shawarma
618355,3.0,Shawarma
611097,2.0,Shawarma
634328,4.0,Shawarma
607160,1.0,Shawarma
728522,3.0,Shawarma
718570,2.0,Shawarma
714598,5.0,Shawarma
601950,4.0,Shawarma
612478,3.0,Shawarma
501416,3.0,Shawarma
629710,3.0,Shawarma
502610,3.0,Shawarma
603476,3.0,Shawarma
600957,4.0,Shawarma
713423,3.0,Shawarma
722431,2.0,Shawarma
633234,4.0,Shawarma
148179,3.0,Shawarma
715845,3.0,Shawarma
