id,price,Label
716549,5.0,Pizza
715742,5.0,Pizza
727333,10.0,Pizza
606874,3.0,Pizza
505318,5.0,Pizza
605771,15.0,Pizza
606929,1.0,Pizza
609789,20.0,Pizza
644623,3.0,Pizza
626792,4.0,Pizza
714863,20.0,Pizza
602805,12.0,Pizza
602526,6.0,Pizza
497421,30.0,Pizza
389328,10.0,Pizza
289931,7.0,Pizza
620148,5.0,Pizza
387155,12.0,Pizza
516975,2.5,Pizza
630825,8.0,Pizza
614043,15.0,Pizza
521125,3.0,Pizza
627780,8.0,Pizza
492744,10.0,Pizza
618747,6.0,Pizza
607815,30.0,Pizza
601609,6.0,Pizza
602657,10.0,Pizza
616449,5.0,Pizza
501893,22.5,Pizza
507448,20.0,Pizza
606556,8.0,Pizza
724326,3.0,Pizza
616945,15.0,Pizza
630962,10.0,Pizza
715814,6.0,Pizza
502799,10.0,Pizza
605278,4.0,Pizza
388888,5.0,Pizza
519548,6.0,Pizza
405521,4.0,Pizza
607410,13.0,Pizza
715795,13.0,Pizza
625326,3.0,Pizza
627220,6.5,Pizza
634964,20.0,Pizza
722500,15.0,Pizza
602824,15.0,Pizza
618355,15.0,Pizza
611097,10.0,Pizza
634328,5.0,Pizza
607160,9.0,Pizza
728522,12.0,Pizza
718570,15.0,Pizza
714598,4.5,Pizza
601950,3.0,Pizza
612478,7.0,Pizza
501416,11.0,Pizza
629710,15.0,Pizza
502610,35.0,Pizza
603476,15.0,Pizza
600957,6.0,Pizza
713423,15.0,Pizza
722431,6.0,Pizza
633234,5.0,Pizza
148179,7.0,Pizza
715845,20.0,Pizza
632153,6.0,Pizza
606552,10.0,Pizza
738409,3.0,Pizza
612096,4.99,Pizza
743537,15.0,Pizza
632896,4.0,Pizza
605207,12.0,Pizza
617542,6.0,Pizza
719554,5.0,Pizza
627427,5.0,Pizza
411315,6.0,Pizza
631507,5.0,Pizza
627798,6.0,Pizza
712093,15.0,Pizza
627488,5.0,Pizza
626493,6.0,Pizza
601363,15.0,Pizza
712898,5.0,Pizza
603398,22.5,Pizza
631012,5.0,Pizza
601848,7.0,Pizza
612131,2.0,Pizza
408630,5.0,Pizza
632091,15.0,Pizza
601122,15.0,Pizza
602871,10.0,Pizza
520828,5.0,Pizza
514199,4.0,Pizza
389697,10.0,Pizza
714430,10.0,Pizza
612567,20.0,Pizza
744468,3.0,Pizza
502722,3.0,Pizza
519681,5.0,Pizza
631125,6.0,Pizza
606119,5.0,Pizza
627252,6.0,Pizza
616568,20.0,Pizza
603838,10.0,Pizza
719735,5.0,Pizza
608062,2.5,Pizza
608704,20.0,Pizza
520383,3.5,Pizza
603793,15.0,Pizza
603933,3.0,Pizza
605519,5.0,Pizza
524803,3.5,Pizza
629712,17.0,Pizza
627505,3.0,Pizza
526131,10.0,Pizza
607065,5.0,Pizza
500077,5.0,Pizza
633350,4.0,Pizza
601945,22.0,Pizza
629878,3.5,Pizza
712766,5.5,Pizza
603664,16.0,Pizza
840827,25.0,Pizza
604897,25.0,Pizza
525422,3.5,Pizza
602560,25.0,Pizza
738379,20.0,Pizza
622023,3.0,Pizza
604770,5.0,Pizza
608318,5.0,Pizza
626757,12.0,Pizza
745297,7.0,Pizza
627599,5.0,Pizza
520037,5.0,Pizza
632189,3.0,Pizza
627636,5.5,Pizza
295428,4.0,Pizza
228777,3.5,Pizza
609278,5.0,Pizza
614089,20.0,Pizza
607517,14.0,Pizza
714607,5.0,Pizza
716650,9.375,Pizza
497695,5.0,Pizza
496858,16.0,Pizza
608688,2.5,Pizza
604386,20.0,Pizza
628559,10.0,Pizza
715152,7.0,Pizza
604110,10.0,Pizza
629010,4.0,Pizza
605254,4.0,Pizza
628990,6.0,Pizza
625295,4.0,Pizza
603415,4.5,Pizza
635533,15.0,Pizza
630389,20.0,Pizza
714901,5.0,Pizza
629792,15.0,Pizza
629025,5.0,Pizza
524441,10.0,Pizza
389109,18.0,Pizza
631216,6.0,Pizza
738875,4.0,Pizza
634669,2.29,Pizza
409940,8.0,Pizza
399605,5.0,Pizza
721831,6.0,Pizza
835223,4.0,Pizza
712938,15.0,Pizza
395712,6.0,Pizza
603388,12.0,Pizza
617774,22.99,Pizza
289440,4.0,Pizza
714503,15.0,Pizza
714893,5.0,Pizza
601094,6.5,Pizza
618150,25.0,Pizza
607944,5.0,Pizza
629844,6.0,Pizza
626482,5.0,Pizza
609257,6.0,Pizza
717921,4.0,Pizza
181851,10.0,Pizza
629041,7.0,Pizza
604062,15.0,Pizza
716749,15.0,Pizza
633143,5.0,Pizza
743828,5.0,Pizza
520861,12.0,Pizza
517019,4.0,Pizza
626779,4.0,Pizza
611716,7.0,Pizza
193195,5.0,Pizza
627530,10.0,Pizza
626479,10.0,Pizza
624540,15.0,Pizza
625315,7.0,Pizza
601941,15.0,Pizza
723968,10.0,Pizza
715806,7.0,Pizza
720045,5.0,Pizza
713585,30.0,Pizza
611188,7.0,Pizza
606726,16.0,Pizza
629142,5.0,Pizza
634825,5.0,Pizza
613409,8.0,Pizza
633224,2.5,Pizza
738850,5.0,Pizza
500470,8.0,Pizza
13183,4.0,Pizza
627169,20.0,Pizza
229041,5.0,Pizza
496344,3.0,Pizza
409723,7.0,Pizza
630949,10.0,Pizza
413014,7.5,Pizza
310438,5.0,Pizza
627430,10.0,Pizza
526510,6.0,Pizza
390823,5.0,Pizza
717116,20.0,Pizza
712143,15.0,Pizza
612538,3.0,Pizza
627539,5.0,Pizza
603812,5.0,Pizza
740568,5.0,Pizza
712702,3.0,Pizza
519638,2.0,Pizza
627800,5.0,Pizza
406863,5.0,Pizza
726962,8.0,Pizza
628077,5.0,Pizza
601693,3.0,Pizza
517096,5.0,Pizza
606821,3.0,Pizza
455047,6.0,Pizza
625576,5.0,Pizza
716549,9.0,Shawarma
715742,10.0,Shawarma
727333,8.0,Shawarma
606874,10.0,Shawarma
505318,8.0,Shawarma
